feature,new_mean,wear_mean,wear_minus_new,new_std,wear_std,standardized_effect_size,abs_effect_size
Modul7_Unterwerkzeug_kurtosis,-0.26879952643658145,-0.2225515998804707,0.046247926556110736,1.8631756830831478,1.894292775981227,0.024615690731184477,0.024615690731184477
Modul7_Unterwerkzeug_rms,0.1941067769618167,0.19194084227215938,-0.0021659346896573117,0.09383059185158259,0.09273877936096801,-0.023218147638682966,0.023218147638682966
Modul7_Unterwerkzeug_settling_index_after_peak,87.11422845691382,90.27454909819639,3.160320641282567,147.73614627364384,148.34924256323407,0.021347313884557576,0.021347313884557576
Modul7_Unterwerkzeug_mean,0.005479056101930126,0.009303827633014216,0.00382477153108409,0.18845485704600007,0.18481141430077305,0.020492552539648087,0.020492552539648087
Modul7_Unterwerkzeug_area,2.799960753011521,4.754209207918107,1.954248454906586,96.40033855903026,94.53738365859883,0.020469034824506648,0.020469034824506648
Modul7_Unterwerkzeug_abs_area,88.30500391752669,87.31994198480291,-0.9850619327237808,49.20256931236028,48.390502794760586,-0.02018642945265798,0.02018642945265798
Modul10_Unterwerkzeug_max,0.21117511150819707,0.21503159414080203,0.003856482632604963,0.20558327862506953,0.1951527102311109,0.019240482761367736,0.019240482761367736
Modul7_Unterwerkzeug_min,-0.23516748120687744,-0.23202124271579833,0.0031462384910791175,0.16866223392543334,0.17041010488946592,0.018557672389577746,0.018557672389577746
Modul7_Unterwerkzeug_skew,0.012245397096430409,0.0007433213160826454,-0.011502075780347763,0.6204395012201817,0.6557105500233751,-0.018019331033195165,0.018019331033195165
Modul10_Unterwerkzeug_fft_energy_mid,160.40379240368503,158.81337266250327,-1.590419741181762,85.5834948609628,91.62613362904847,-0.017939159924843323,0.017939159924843323
Modul10_Unterwerkzeug_kurtosis,0.11634765641272611,0.15433113708886476,0.037983480676138645,2.2801488000886487,2.298161017190725,0.01659266770276122,0.01659266770276122
Modul7_Unterwerkzeug_peak_index,303.19639278557116,306.0501002004008,2.853707414829614,188.51071610703832,192.08554659163923,0.014995320876756833,0.014995320876756833
Modul7_Unterwerkzeug_fft_energy_mid,117.09854395126573,117.51901836967201,0.4204744184062861,55.70412302155486,61.660775501295454,0.00715603930663527,0.00715603930663527
Modul10_Unterwerkzeug_area,-33.447503017516325,-34.02665785102195,-0.5791548335056262,114.22251085391161,111.06171070490167,-0.005141042146481935,0.005141042146481935
Modul10_Unterwerkzeug_mean,-0.06545442899932988,-0.06658465575229555,-0.001130226752965674,0.22328170071095285,0.21709772267098176,-0.005132462033940057,0.005132462033940057
Modul10_Unterwerkzeug_skew,0.028686225918745718,0.024923786276750022,-0.0037624396419956956,0.752299744501737,0.7804902205411597,-0.004908439595835916,0.004908439595835916
Modul10_Unterwerkzeug_min,-0.3353690532101289,-0.33623890729604344,-0.0008698540859145565,0.19841269899999678,0.19839157483769,-0.004384297962666449,0.004384297962666449
