x_mean,x_std,x_sum,x_median,y_mean,y_std,y_sum,y_median,z_mean,z_std,z_sum,z_median,Label
-86.26448362720403,5311.580935168259,-68494.0,-2146.0,-998.4408060453401,2035.0395064555032,-792762.0,-1419.0,8.478589420654911,5362.760395960672,6732.0,-488.5,1
-63.60579345088161,3720.6175956866828,-50503.0,-1341.0,-997.9546599496222,1627.358298589959,-792376.0,-1319.0,10.409319899244332,3534.9768170474745,8265.0,-549.0,1
-41.81234256926952,2454.7066274370054,-33199.0,-784.0,-996.7216624685138,1419.3622608766107,-791397.0,-1282.0,4.789672544080605,2242.0081269265474,3803.0,-327.0,1
-28.707808564231737,1683.255229227972,-22794.0,-455.0,-991.9596977329975,1543.0634066071286,-787616.0,-1323.0,10.061712846347607,1653.0087512998791,7989.0,-124.5,1
-37.996221662468514,2890.68145597803,-30169.0,-49.0,-994.6889168765744,2004.073340675848,-789783.0,-1167.0,12.857682619647354,2544.395868687272,10209.0,-381.0,1
-252.00251889168766,6967.363549236683,-200090.0,682.5,-836.7090680100756,4407.898307615928,-664347.0,-565.5,-14.704030226700253,5391.184861292963,-11675.0,-623.0,1
-257.06171284634763,8564.43461427927,-204107.0,1657.0,-970.11838790932,4357.001071151122,-770274.0,-903.5,-30.575566750629722,6604.5707427544385,-24277.0,-1484.0,1
-106.36523929471032,8255.937898427977,-84454.0,1685.0,-1017.9458438287154,3233.17811950143,-808249.0,-905.0,-37.2632241813602,6545.10497065598,-29587.0,-1342.0,1
24.071788413098236,7483.029887602289,19113.0,1223.5,-979.3627204030226,2974.165896303463,-777614.0,-1372.0,1.093198992443325,5985.25956322884,868.0,-534.5,1
-22.91309823677582,6906.383349645604,-18193.0,1192.0,-978.9974811083123,3314.5810855985283,-777324.0,-1378.0,8.379093198992443,5331.223571834037,6653.0,-308.5,1
-90.16498740554157,6665.406228687475,-71591.0,1283.5,-973.9785894206549,3702.0314989152826,-773339.0,-1332.0,10.8727959697733,4937.494758169502,8633.0,-475.5,1
-70.31989924433249,6604.960296280524,-55834.0,1163.0,-1025.545340050378,4065.114096676864,-814283.0,-1458.5,3.0214105793450883,4908.567204727273,2399.0,-374.5,1
-104.05919395465995,6576.357894027499,-82623.0,1285.0,-1056.375314861461,3938.472426835494,-838762.0,-1234.0,11.866498740554157,5030.894947178344,9422.0,-306.0,1
-88.16750629722922,6726.765530723043,-70005.0,1546.5,-1075.6095717884132,3554.254337451511,-854034.0,-1261.5,27.443324937027707,5364.302578742618,21790.0,-158.5,1
-102.94080604534005,6609.853955020945,-81735.0,1262.5,-1094.3060453400503,3551.5090937749874,-868879.0,-1204.0,12.978589420654911,5333.888282967485,10305.0,44.0,1
-76.44332493702771,6527.310756538309,-60696.0,1574.0,-1034.1977329974811,3706.2624572761,-821153.0,-1235.0,43.2191435768262,5201.915053787495,34316.0,165.5,1
-111.26700251889169,6519.113096343695,-88346.0,1509.5,-952.5793450881612,3333.7082249359155,-756348.0,-1007.0,4.19521410579345,5138.236314596954,3331.0,339.0,1
-149.5831234256927,6366.278293099329,-118769.0,261.0,-945.6612090680101,2580.6312125259888,-750855.0,-756.0,15.638539042821158,5164.039745528017,12417.0,1159.0,1
-115.25188916876574,5970.007659944916,-91510.0,377.5,-1001.875314861461,2288.491566018525,-795489.0,-879.0,0.783375314861461,4691.3836786822285,622.0,1586.5,1
-75.15869017632242,4974.633741041595,-59676.0,592.0,-1023.7858942065491,2041.8571139154005,-812886.0,-1179.5,-2.5302267002518892,4077.3943729238745,-2009.0,793.0,1
-66.80226700251889,3664.2525419232597,-53041.0,681.5,-1015.0869017632242,1918.906693041632,-805979.0,-1175.0,4.722921914357682,3183.6391026215992,3750.0,224.0,1
-22.58690176322418,2029.1424935541763,-17934.0,15.0,-995.2229219143577,1757.1496011253444,-790207.0,-1008.0,7.89168765743073,2205.7318792600986,6266.0,147.0,1
-8.026448362720403,1260.808050930845,-6373.0,8.0,-1000.0377833753149,1215.429386586768,-794030.0,-926.0,2.9937027707808563,1383.3553224887303,2377.0,-51.0,1
0.37279596977329976,758.3075614124689,296.0,-49.0,-992.2078085642318,684.7294112254922,-787813.0,-1002.0,4.239294710327456,696.2968436624797,3366.0,-35.0,1
-0.28463476070528965,653.0781935966825,-226.0,-44.0,-991.0,579.9835497949807,-786854.0,-1021.0,1.385390428211587,659.7334190412901,1100.0,-39.0,1
-179.94458438287154,6965.869509049232,-142876.0,-26.0,-1032.1649874055415,4198.729612318494,-819539.0,-1088.0,4.3841309823677586,5241.259121154194,3481.0,-9.0,1
-319.9256926952141,9230.985022330588,-254021.0,-946.0,-1165.9370277078085,5395.046130023701,-925754.0,-1179.0,-4.410579345088161,6863.138155532847,-3502.0,860.0,1
-204.82493702770782,9412.470073850445,-162631.0,9.0,-897.6057934508816,5255.02618272272,-712699.0,-425.0,4.634760705289673,6464.500419190235,3680.0,636.0,1
-267.9345088161209,9588.010576515737,-212740.0,22.0,-734.9672544080604,5179.001696655244,-583564.0,-238.0,-44.12468513853904,6531.931287246265,-35035.0,-81.0,1
-213.05163727959697,9366.961935857154,-169163.0,4.0,-605.8539042821159,5159.071674591503,-481048.0,-238.0,9.316120906801007,6430.575418767834,7397.0,-632.0,1
